,ID,name,engine_cc,brand_name,model_name,year,highway_milege,city_milege,transmission,doors,submodel,msrp,rating,consumer_rating,photo,segment,description,car_name
0,200703618,SH-AWD_w/Advance_Package_4dr_Sedan_AWD_,3.5L_6cyl_9A,Acura,TLX,2015,31.0,21.0,2.0,4.0,TLX Sedan,34.78272,4.0,4.0,http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg,Luxry,TLX Sedan Luxry 3.5L_6cyl_9A,Acura_TLXSH-AWD_w/Advance_Package_4dr_Sedan_AWD_
1,200703608,4dr_Sedan_,3.5L_6cyl_9A,Acura,TLX,2015,34.0,21.0,2.0,4.0,TLX Sedan,27.422448,4.0,4.0,http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg,VeryHighRange,TLX Sedan VeryHighRange 3.5L_6cyl_9A,Acura_TLX4dr_Sedan_
2,200703609,Advance_Package_4dr_Sedan_,3.5L_6cyl_9A,Acura,TLX,2015,34.0,21.0,2.0,4.0,TLX Sedan,33.07464,4.0,4.0,http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg,Luxry,TLX Sedan Luxry 3.5L_6cyl_9A,Acura_TLXAdvance_Package_4dr_Sedan_
3,200703614,Technology_Package_4dr_Sedan_,2.4L_4cyl_8AM,Acura,TLX,2015,35.0,24.0,1.0,4.0,TLX Sedan,27.5622,4.0,4.0,http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg,VeryHighRange,TLX Sedan VeryHighRange 2.4L_4cyl_8AM,Acura_TLXTechnology_Package_4dr_Sedan_
4,200703615,SH-AWD_w/Technology_Package_4dr_Sedan_AWD_,3.5L_6cyl_9A,Acura,TLX,2015,31.0,21.0,2.0,4.0,TLX Sedan,32.27883,4.0,4.0,http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg,Luxry,TLX Sedan Luxry 3.5L_6cyl_9A,Acura_TLXSH-AWD_w/Technology_Package_4dr_Sedan_AWD_
5,200703610,Technology_Package_4dr_Sedan_,3.5L_6cyl_9A,Acura,TLX,2015,34.0,21.0,2.0,4.0,TLX Sedan,30.57075,4.0,4.0,http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg,Luxry,TLX Sedan Luxry 3.5L_6cyl_9A,Acura_TLXTechnology_Package_4dr_Sedan_
6,200673635,4dr_Sedan_,2.4L_4cyl_8AM,Acura,TLX,2015,35.0,24.0,1.0,4.0,TLX Sedan,24.413898,4.0,4.0,http://media.ed.edmunds-media.com/acura/tlx/2015/oem/2015_acura_tlx_sedan_sh-awd-wtechnology-package_fq_oem_1_300.jpg,HighRange,TLX Sedan HighRange 2.4L_4cyl_8AM,Acura_TLX4dr_Sedan_
7,200464146,2dr_Coupe_,1.7L_4cyl_Turbo_6AM,Alfa Romeo,4C,2015,34.0,24.0,1.0,2.0,4C Coupe,41.84796,4.0,4.25,http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg,HighLuxry,4C Coupe HighLuxry 1.7L_4cyl_Turbo_6AM,Alfa Romeo_4C2dr_Coupe_
8,200708065,Launch_Edition_2dr_Coupe_,1.7L_4cyl_Turbo_6AM,Alfa Romeo,4C,2015,34.0,24.0,1.0,2.0,4C Coupe,53.10576,4.0,4.25,http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg,HighLuxry,4C Coupe HighLuxry 1.7L_4cyl_Turbo_6AM,Alfa Romeo_4CLaunch_Edition_2dr_Coupe_
9,200722371,1.8_TFSI_Premium_Plus_4dr_Sedan_,1.8L_4cyl_Turbo_6AM,Audi,A3,2015,33.0,23.0,1.0,4.0,A3 Sedan,25.19418,5.0,4.095,http://media.ed.edmunds-media.com/audi/a3/2015/oem/2015_audi_a3_sedan_20-tfsi-premium-plus-quattro_fq_oem_2_300.jpg,HighRange,A3 Sedan HighRange 1.8L_4cyl_Turbo_6AM,Audi_A31.8_TFSI_Premium_Plus_4dr_Sedan_
